Id,SigBg,muons.charge,muons.pt,muons.eta,muons.phi,muPairs.mass,muPairs.pt,muPairs.eta
0,Signal,-1.0,1.8926329198655525,1.1560729534552734,-0.4479070417972496,0.9554648996041317,0.41625618882118065,0.7135064092688119
1,Signal,1.0,-0.40177772949889984,0.9845582921501131,1.0969192270579964,0.9554648996041317,0.41625618882118065,0.7135064092688119
2,Signal,1.0,-0.04684960982571371,-1.560565831089783,1.343919705476818,0.9499988107854256,-0.15583984113446323,-1.107154657703818
3,Signal,-1.0,-0.6607383061714917,-0.04184595296239493,-0.11037960724203497,0.9499988107854256,-0.15583984113446323,-1.107154657703818
4,Signal,1.0,2.172079601911114,-2.141102067587563,-1.004582192141103,0.9692530175059806,1.5306946094532905,-1.3336152388093394
5,Signal,-1.0,0.7157658231658545,-1.9669523922090395,-0.01746760453738058,0.9692530175059806,1.5306946094532905,-1.3336152388093394
6,Signal,-1.0,1.2325774990607812,0.8311861918045265,-0.955195875596584,0.6726782410181226,0.1724198130584147,0.6910499332564181
7,Signal,1.0,-0.25032190744159677,1.1384009625126297,1.1918424860513062,0.6726782410181226,0.1724198130584147,0.6910499332564181
8,Signal,1.0,0.5025960122292809,-0.3001803002497075,0.4523381833262596,0.9556663518771712,-0.5669338514849693,-0.055393939952677405
9,Signal,-1.0,0.317027750751383,0.0458359378508508,-1.278887847291254,0.9556663518771712,-0.5669338514849693,-0.055393939952677405
10,Signal,1.0,0.8176853516556165,0.49534562235426777,-1.3472967082673597,0.9162898717621016,-0.18380696376193584,0.814490738795652
11,Signal,-1.0,-0.4837270110296726,1.3857645281502504,0.40373987860043525,0.9162898717621016,-0.18380696376193584,0.814490738795652
12,Signal,1.0,3.678996799906671,-0.7135466247713496,-0.9890114881042223,1.059981387038077,3.6719748440663875,-0.3407675523166998
13,Signal,-1.0,1.574998482214386,0.19994314313408676,-0.8523642069105487,1.059981387038077,3.6719748440663875,-0.3407675523166998
14,Signal,-1.0,0.5140632739984726,0.6638715014165485,-0.9174978245928195,0.9119269463672102,-0.31084525038726446,0.5786819461349336
15,Signal,1.0,0.023565931546717028,-0.010991189752962097,1.1105880363481242,0.9119269463672102,-0.31084525038726446,0.5786819461349336
16,Signal,1.0,0.5560409920769119,0.023021710960539954,-1.3125074252576194,0.9566951959595161,-0.5118626704040125,0.7512290436637531
17,Signal,-1.0,0.023941369551239197,0.6424120548027533,0.448884890311452,0.9566951959595161,-0.5118626704040125,0.7512290436637531
18,Signal,1.0,-0.044985437764424714,0.8991153176973673,0.8202691122369348,0.9492915759693467,-0.34499767642231505,0.529220611674933
19,Signal,-1.0,-0.5042563360342309,-0.48688915361186613,-0.763366669516632,0.9492915759693467,-0.34499767642231505,0.529220611674933
20,Background,1.0,0.6131596406095693,-0.1860291055987617,0.38094290835310246,-0.023801170535560894,-0.13499689854578215,0.016226593168932404
21,Background,-1.0,-0.5255990232621784,0.2782368011216533,-1.661887184959539,-0.023801170535560894,-0.13499689854578215,0.016226593168932404
22,Background,1.0,-0.3842501728023426,-1.8171430943623774,0.9682672360735756,-2.0921862828930933,-0.34447007895152043,-1.4487761958109484
23,Background,-1.0,-1.3111656427826222,-1.4152988492871634,-0.9770452187450575,-2.0921862828930933,-0.34447007895152043,-1.4487761958109484
24,Background,1.0,-0.7595677177890816,0.006331792621271921,-1.334058082044337,-0.7897254897757792,-0.7469849004615392,-1.9175812554352916
25,Background,-1.0,-0.8249050392362672,-1.254073728543451,0.4746257335385875,-0.7897254897757792,-0.7469849004615392,-1.9175812554352916
26,Background,1.0,-0.8923616847866501,0.5928582529074946,-0.6944942152110941,-1.5045242952573343,-0.4724558834725956,0.1373164495239691
27,Background,-1.0,-1.1365347252617077,-0.6819995930342259,0.8522802938893707,-1.5045242952573343,-0.4724558834725956,0.1373164495239691
28,Background,-1.0,-0.6315096851204023,0.38508818937425227,-1.6272704178799098,-0.8753247407649153,-0.3888632960385785,0.9435365241376931
29,Background,1.0,-1.1203184244158961,1.804660952840639,-0.09031117633760208,-0.8753247407649153,-0.3888632960385785,0.9435365241376931
30,Background,-1.0,-0.47812685764183005,0.8939044322303641,1.8636346666559178,-0.7942809085133004,-0.7322253503917084,1.4898907155438172
31,Background,1.0,-0.5463630187161654,0.13116188792937797,0.01432295179064122,-0.7942809085133004,-0.7322253503917084,1.4898907155438172
32,Background,-1.0,-0.17251216403835493,-0.20703609031438217,1.4733572872464313,-0.7514571050414215,-0.4865117925088142,0.13017087260422047
33,Background,1.0,-0.4666832017758353,0.16908280439192916,-0.18326376593960714,-0.7514571050414215,-0.4865117925088142,0.13017087260422047
34,Background,1.0,0.34253254057315263,1.157005192416934,0.44737406164765137,-0.8797063866893108,0.7572714070004675,0.3189367914339316
35,Background,-1.0,-1.0932041806427018,-0.22296398724454855,1.1316260565838985,-0.8797063866893108,0.7572714070004675,0.3189367914339316
36,Background,1.0,-0.6347464710234672,1.5124567524876251,-0.33693129310016956,-0.7246728668340534,-0.49466822755082496,1.0624650170017793
37,Background,-1.0,-0.6558577856855211,0.42398765509910025,1.7002582071872234,-0.7246728668340534,-0.49466822755082496,1.0624650170017793
38,Background,1.0,-0.39703502583012323,-1.0929539371540953,1.2469295755966934,-0.8615670515823126,-0.6731541808834168,-1.9734328061800703
39,Background,-1.0,-0.5542668305395225,-1.7207310319361777,-0.5203946525002975,-0.8615670515823126,-0.6731541808834168,-1.9734328061800703
